row_key,sheet,tc_id,verdict,defect_class,redesign_pattern,defer_category,cue_flags,confidence,reason,pass
1.Basic principle#1.0,1.Basic principle,1.0,REVIEW,D2_verifier,observe_split,C_verifier,none,0.62,"'아무런 동작 없음' - 무동작 negative assert, 확인할 positive 요소 없음(부재 증명)",strict2
1.Basic principle#2.0,1.Basic principle,2.0,REVIEW,,-,A_fixture,fixture,0.85,"음악 재생 중 fixture 전제, 볼륨 1단계 변화 검증 위해 재생상태 구성 필요",pass1
1.Basic principle#3.0,1.Basic principle,3.0,REVIEW,,-,A_fixture,fixture,0.85,"라디오 재생 중 fixture 전제, 볼륨 변화 검증 위해 재생상태 구성 필요",pass1
1.Basic principle#4.0,1.Basic principle,4.0,REVIEW,D2_verifier,observe_split,C_verifier,none,0.62,"'아무런 동작 없음' - 무동작 negative assert, positive 요소 부재로 결정적 검증 불가",strict2
1.Basic principle#5.0,1.Basic principle,5.0,REVIEW,,-,A_fixture,fixture,0.85,"음악 재생 중 fixture 전제, 볼륨 1단계 작게 검증 위해 재생상태 구성 필요",pass1
1.Basic principle#6.0,1.Basic principle,6.0,REVIEW,,-,A_fixture,fixture,0.85,"라디오 재생 중 fixture 전제, 볼륨 작게 검증 위해 재생상태 구성 필요",pass1
1.Basic principle#7.0,1.Basic principle,7.0,REVIEW,D2_verifier,-,C_verifier,none,0.88,expected가 Sub LCD On/걸음수화면 - 별도 디스플레이 비결정 verify 불가,strict2
1.Basic principle#8.0,1.Basic principle,8.0,EXCLUDE,,-,-,external,0.92,"구제 재적용: expected '등록 보호자에게 위치·알림 보내기' = 실제 외부발송 결과 서술, 라벨·취소경로 아님 → EXCLUDE 유지",pass1
1.Basic principle#9.0,1.Basic principle,9.0,REVIEW,D5_mutation,roundtrip_restore,D_system_state,none,0.82,Vol Up시 벨소리 볼륨 Up - 시스템 음량 변경 부작용,strict2
1.Basic principle#10.0,1.Basic principle,10.0,REVIEW,D5_mutation,roundtrip_restore,D_system_state,none,0.82,Vol Down시 벨소리 볼륨 Down - 시스템 음량 변경 부작용,strict2
1.Basic principle#11.0,1.Basic principle,11.0,REVIEW,D3_prestate,-,A_fixture,none,0.75,"구글 어시스턴트 실행 - 외부 구글앱/계정 의존 실행, 전제 셋업",strict2
1.Basic principle#12.0,1.Basic principle,12.0,REVIEW,D5_mutation,-,D_system_state,none,0.8,SOS 5회시 안드로이드 SOS 기능 동작 - 긴급 외부효과 트리거,strict2
1.Basic principle#13.0,1.Basic principle,13.0,EXCLUDE,,-,-,external,0.92,"구제 재적용: expected '등록 보호자에게 위치·알림 보내기' = 실제 외부발송, 라벨·빈상태 아님 → EXCLUDE 유지",pass1
1.Basic principle#14.0,1.Basic principle,14.0,KEEP,none,-,-,none,0.85,"Recent App 버튼시 최근앱 리스트 화면 전환 - 화면전환 assert만, mutation 없음",strict2
1.Basic principle#15.0,1.Basic principle,15.0,KEEP,none,-,-,none,0.92,"Home 버튼시 홈스크린 전환 - 고정 화면전환 assert, mutation 없음",strict2
1.Basic principle#16.0,1.Basic principle,16.0,REVIEW,D3_prestate,-,A_fixture,none,0.68,"'이전화면으로 전환' - 직전 화면이 context 의존, 결정적 요소 assert 불가",strict2
1.Basic principle#17.0,1.Basic principle,17.0,KEEP,none,-,-,none,0.88,"Contact 버튼시 연락처앱 초기화면 전환 - 앱 초기화면 assert, 데이터무관",strict2
1.Basic principle#18.0,1.Basic principle,18.0,KEEP,none,-,-,none,0.88,"Message 버튼시 메시지앱 초기화면 전환 - 앱 초기화면 assert, 데이터무관",strict2
1.Basic principle#19.0,1.Basic principle,19.0,KEEP,none,-,-,none,0.85,Camera 버튼시 카메라앱 초기화면 전환 - 앱 초기화면 assert만,strict2
1.Basic principle#20.0,1.Basic principle,20.0,REVIEW,D1_fixture,-,A_fixture,none,0.82,'즐겨찾기 등록된 앱 화면' - 사전 등록 즐겨찾기 데이터 전제,strict2
1.Basic principle#21.0,1.Basic principle,21.0,REVIEW,D1_fixture,-,A_fixture,none,0.65,"통화목록 화면 - 통화 기록 사용자 데이터 의존 가능, 빈/채움 가변",strict2
1.Basic principle#23.0,1.Basic principle,23.0,REVIEW,D3_prestate,-,A_fixture,none,0.66,precondition '홈화면 아닌 상태' - 임의 비홈화면 선행 셋업 전제,strict2
1.Basic principle#24.0,1.Basic principle,24.0,REVIEW,,-,A_fixture,fixture,0.82,"통화중 fixture 전제 + 통화종료 상태변경 검증, 실통화 구성 필요",pass1
1.Basic principle#25.0,1.Basic principle,25.0,KEEP,none,popup_cancel,-,none,0.85,종료 길게시 전원종료 팝업(긴급전화/끄기/재시작) 고정라벨 observe,strict2
1.Basic principle#26.0,1.Basic principle,26.0,REVIEW,D3_prestate,-,A_fixture,none,0.66,'이전화면' + '홈화면 아닌 상태' - 직전화면 비결정 + 선행 셋업 전제,strict2
1.Basic principle#27.0,1.Basic principle,27.0,REVIEW,,transient_input,A_fixture,"input,fixture",0.8,"Text 입력중 fixture + 마지막 Text 삭제 input field 상태변경 검증, 삭제는 reconstructable transient",pass1
1.Basic principle#28.0,1.Basic principle,28.0,REVIEW,,transient_input,A_fixture,"input,fixture",0.8,"Text 입력중 fixture + Text 모두 삭제 input field 상태변경 검증, 영속 데이터 아님 transient",pass1
1.Basic principle#29.0,1.Basic principle,29.0,REVIEW,D5_mutation,transient_input,E_binding,none,0.74,숫자버튼시 다이얼러 전환+입력번호 노출 - 입력 부작용 발생,strict2
1.Basic principle#31.0,1.Basic principle,31.0,KEEP,none,popup_cancel,-,none,0.82,"QuickDialer 미설정 precondition 명시, 숫자길게→'설정번호 없다' 고정문구 observe",strict2
1.Basic principle#32.0,1.Basic principle,32.0,REVIEW,D5_mutation,transient_input,E_binding,none,0.74,* 짧게시 다이얼러 실행+* 입력 - 입력 부작용 발생,strict2
1.Basic principle#33.0,1.Basic principle,33.0,REVIEW,,transient_input,A_fixture,"input,fixture",0.78,Text 입력 Field fixture 전제 + 입력모드 변경 transient 검증,pass1
1.Basic principle#34.0,1.Basic principle,34.0,REVIEW,,roundtrip_restore,D_system_state,mutation,0.7,"구제 재적용: 진동모드 On/Off 토글은 영속이나 가역(roundtrip 복원 가능), expected가 검증 대상=상태확인 → EXCLUDE 완화 REVIEW",pass1
1.Basic principle#35.0,1.Basic principle,35.0,REVIEW,D5_mutation,transient_input,E_binding,none,0.74,# 짧게시 다이얼러 실행+# 입력 - 입력 부작용 발생,strict2
1.Basic principle#36.0,1.Basic principle,36.0,REVIEW,,transient_input,A_fixture,"input,fixture",0.78,Text 입력 Field fixture 전제 + 공란 입력 transient 검증,pass1
1.Basic principle#37.0,1.Basic principle,37.0,REVIEW,D5_mutation,popup_cancel,D_system_state,none,0.66,"# 길게시 터치스크린 락 On/Off 설정 팝업 - mutation gateway, observe-only 불확실",strict2
1.Basic principle#38.0,1.Basic principle,38.0,KEEP,none,-,-,none,0.9,Navi Up 짧게시 포커스 위로 이동 - focus 이동 assert만,strict2
1.Basic principle#39.0,1.Basic principle,39.0,KEEP,none,-,-,none,0.85,Navi Up 길게시 포커스 위로 빠르게 이동 - focus 이동 assert만,strict2
1.Basic principle#40.0,1.Basic principle,40.0,KEEP,none,-,-,none,0.9,Navi Down 짧게시 포커스 아래 이동 - focus 이동 assert만,strict2
1.Basic principle#41.0,1.Basic principle,41.0,KEEP,none,-,-,none,0.85,Navi Down 길게시 포커스 아래 빠르게 이동 - focus 이동 assert만,strict2
1.Basic principle#42.0,1.Basic principle,42.0,KEEP,none,-,-,none,0.9,Navi Left 짧게시 포커스 왼쪽 이동 - focus 이동 assert만,strict2
1.Basic principle#43.0,1.Basic principle,43.0,KEEP,none,-,-,none,0.85,Navi Left 길게시 포커스 왼쪽 빠르게 이동 - focus 이동 assert만,strict2
1.Basic principle#44.0,1.Basic principle,44.0,KEEP,none,-,-,none,0.9,Navi Right 짧게시 포커스 오른쪽 이동 - focus 이동 assert만,strict2
1.Basic principle#45.0,1.Basic principle,45.0,KEEP,none,-,-,none,0.85,Navi Right 길게시 포커스 오른쪽 빠르게 이동 - focus 이동 assert만,strict2
1.Basic principle#46.0,1.Basic principle,46.0,REVIEW,D5_mutation,selection_gated,E_binding,none,0.78,"OK 짧게시 포커스 앱/기능 실행 - 앱 실행 부작용, 대상 가변",strict2
1.Basic principle#47.0,1.Basic principle,47.0,REVIEW,D5_mutation,selection_gated,E_binding,none,0.78,"OK 길게시 포커스 앱/기능 설정메뉴 노출 - 설정진입 부작용, 대상 가변",strict2
1.Basic principle#48.0,1.Basic principle,48.0,REVIEW,,-,D_system_state,none,0.8,"화면 잠금 상태 사전 조작 전제, 잠금화면서 Volume 조절바·Up 검증",pass1
1.Basic principle#49.0,1.Basic principle,49.0,REVIEW,,-,D_system_state,none,0.8,"화면 잠금 상태 사전 조작 전제, 잠금화면서 Volume 조절바·Down 검증",pass1
1.Basic principle#50.0,1.Basic principle,50.0,REVIEW,,-,D_system_state,none,0.8,"화면 잠금 상태 사전 조작 전제, 조절바 사라지고 잠금화면 유지 검증",pass1
1.Basic principle#51.0,1.Basic principle,51.0,REVIEW,D5_mutation,roundtrip_restore,D_system_state,none,0.72,잠금서 Vol Down→취소; 음량변경 부작용 후 조절바 사라짐,strict2
1.Basic principle#52.0,1.Basic principle,52.0,REVIEW,D2_verifier,observe_split,C_verifier,none,0.72,Vol Up 후 조절바 3초 유지후 사라짐 - 시간기반 소멸 비결정+음량 mutation,strict2
1.Basic principle#53.0,1.Basic principle,53.0,REVIEW,D2_verifier,observe_split,C_verifier,none,0.72,Vol Down 후 조절바 3초 유지후 사라짐 - 시간기반 소멸 비결정+음량 mutation,strict2
1.Basic principle#54.0,1.Basic principle,54.0,REVIEW,D5_mutation,selection_gated,E_binding,none,0.74,Vol Up→OK로 소리모드 노출+음량/모드 변경 - 선택 부작용 경로,strict2
1.Basic principle#55.0,1.Basic principle,55.0,REVIEW,D5_mutation,roundtrip_restore,D_system_state,none,0.72,Vol Up→취소; 조절바 사라짐이나 Vol Up 음량변경 부작용 잔존,strict2
1.Basic principle#56.0,1.Basic principle,56.0,REVIEW,D5_mutation,observe_split,D_system_state,none,0.72,Vol Up→3초방치 조절바 사라짐; 음량변경+시간기반 소멸,strict2
1.Basic principle#57.0,1.Basic principle,57.0,REVIEW,D5_mutation,observe_split,D_system_state,none,0.72,Vol Up→Navi Down 더보기 포커스; 조절바 노출에 음량변경 부작용,strict2
1.Basic principle#58.0,1.Basic principle,58.0,REVIEW,,observe_split,F_misc,mutation,0.65,"expected2 'Volume 1단계 Down 조절' 실제 볼륨값 변경 포함, 노출과 혼합 → assert 분리",pass1
1.Basic principle#59.0,1.Basic principle,59.0,REVIEW,D5_mutation,selection_gated,E_binding,none,0.74,Vol Down→OK로 소리모드 노출 - 음량변경+선택 부작용 경로,strict2
