tc_id,entry_status,entry_resolved,keycodes_used,literal_expected,literal_observed,verify_status,focus_observed,focus_model,divergence,evidence_files,note
"ALTBASIC_HDK_016","ENTRY_OK","recent apps via KEYCODE_APP_SWITCH","187","최근항목이 없습니다","닫기 설정 | 모두 닫기","NOT_PRESENT","FrameLayout focused [106,33][373,569]","node","empty-recents premise not met; recent-app surface contained controls","ALTBASIC_HDK_016_s1_pre.xml|ALTBASIC_HDK_016_s1_post.xml","state-dependent empty message not observed"
"ALTBASIC_HDK_019","ENTRY_OK","HOME precondition resolved; long-press action produced no destination","--longpress 3","퀵패널","HOME labels remained visible","NOT_PRESENT","none","—","HOME long-press did not open quick panel","ALTBASIC_HDK_019_s1_pre.xml|ALTBASIC_HDK_019_s1_post.xml","LONGPRESS_UNSUPPORTED for keycode 3 on this surface"
"ALTBASIC_HDK_021","ENTRY_OK","contacts via KEYCODE_CONTACTS","207","연락처가 없습니다 | 새 연락처 만들기","연락처가\n없습니다. | 새 연락처 만들기","LITERAL_PENDING","none","—","first literal differs by line break and terminal punctuation","ALTBASIC_HDK_021_s1_pre.xml|ALTBASIC_HDK_021_s1_post.xml","empty-contact state observed"
"ALTBASIC_HDK_022","ENTRY_OK","camera via KEYCODE_CAMERA","27","카메라 촬영 화면","com.hnlens.camera | 사진 | 동영상","LITERAL_PENDING","none","—","source phrase is not an on-screen literal; destination semantics observed","ALTBASIC_HDK_022_s1_pre.xml|ALTBASIC_HDK_022_s1_post.xml","shutter and OK were not pressed"
"ALTBASIC_HDK_023","ENTRY_FAILED","message key unresolved; sole candidate opened Gmail","65","대화가 없습니다","<REDACTED>; package=com.google.android.gm","ENTRY_FAILED","—","—","KEYCODE_ENVELOPE mapped to Gmail, not message app","ALTBASIC_HDK_023_s1_pre.xml|ALTBASIC_HDK_023_s1_post.xml","KEYCODE_UNRESOLVED; raw dump local-only"
"ALTBASIC_HDK_035","ENTRY_OK","HOME focus surface","19 | --longpress 19","focus one step up | focus fast to top","none -> 전화; 전화 -> weather_view","FOCUS_OBSERVED","none -> rl_home_app[전화] -> weather_view[정자동/weather]","node","initial precondition had no focused node, so short input created focus before long input moved it","ALTBASIC_HDK_035_s1_pre.xml|ALTBASIC_HDK_035_s1_post.xml|ALTBASIC_HDK_035_s2_pre.xml|ALTBASIC_HDK_035_s2_post.xml","manual evidence observed only"
"ALTBASIC_HDK_036","ENTRY_OK","HOME focus surface","20 | --longpress 20","focus one step down | focus fast to bottom","갤러리 -> 전화; 전화 -> 연락처","FOCUS_OBSERVED","rl_home_app[갤러리] -> rl_home_app[전화] -> ViewGroup[연락처]","node","long-press destination node has no resource-id","ALTBASIC_HDK_036_s1_pre.xml|ALTBASIC_HDK_036_s1_post.xml|ALTBASIC_HDK_036_s2_pre.xml|ALTBASIC_HDK_036_s2_post.xml","manual evidence observed only"
"ALTBASIC_HDK_037","ENTRY_OK","HOME focus surface","21 | --longpress 21","focus one step left | focus fast to far left","전화 -> 1 - 30; 1 - 30 retained","FOCUS_OBSERVED","rl_home_app[전화] -> rl_first[1 - 30] -> retained","node","long-press did not move beyond the first-page indicator","ALTBASIC_HDK_037_s1_pre.xml|ALTBASIC_HDK_037_s1_post.xml|ALTBASIC_HDK_037_s2_pre.xml|ALTBASIC_HDK_037_s2_post.xml","boundary or long-press non-repeat; driver must not assume acceleration"
"ALTBASIC_HDK_038","ENTRY_OK","HOME focus surface","22 | --longpress 22","focus one step right | focus fast to far right","전화 -> 메시지; 메시지 -> 모든 앱","FOCUS_OBSERVED","rl_home_app[전화] -> rl_home_app[메시지] -> t_all_apps[모든 앱]","node","long-press crossed to all-apps destination","ALTBASIC_HDK_038_s1_pre.xml|ALTBASIC_HDK_038_s1_post.xml|ALTBASIC_HDK_038_s2_pre.xml|ALTBASIC_HDK_038_s2_post.xml","manual evidence observed only"
"ALTBASIC_HDK_041","DISCOVERY_BLOCKED","HOME precondition only","—","전화앱 focus retained at bottom","—","DISCOVERY_BLOCKED","—","—","source action 'Navi 키(모든)' has no mapped keycode","ALTBASIC_HDK_041_s1_pre.xml","NAVI_ALL_UNRESOLVED; no guessed input"
"ALTBASIC_HDK_042","DISCOVERY_BLOCKED","HOME precondition only","—","전화앱 then repeated-up focus movement","—","DISCOVERY_BLOCKED","—","—","source action 'Navi 키(모든)' has no mapped keycode","ALTBASIC_HDK_042_s1_pre.xml","NAVI_ALL_UNRESOLVED; dependent steps not executed"
