sheet,tc_id,functionality,procedure,expected,csv_safety_prev,classification,reason,judge_method
24.Launcher,52.0,홈 화면,1. Home 키 입력하여 홈화면 이동 후 화면구성 확인,"1. 홈 화면 상단 시계 위젯이 배치되어있고, 날씨 위젯, 갤러리,라디오,설정,전화,메시지,카메라 순서로 배치되어 있음",INPUT_REQUIRED,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 홈/설정 영속 mutation; 데이터 이동/복사 = mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,53.0,홈 화면,1. 홈화면에서 좌방향 스와이프 2. 화면 이동 확인,1. 단축 다이얼 설정 화면으로 전환된다,INPUT_REQUIRED,KEEP,직독: 관찰 전용 진입/노출 — mutation·input·외부효과 0,human_confirmed
24.Launcher,54.0,홈 화면,1. 홈화면에서 우방향스와이프 2. 화면 이동 확인,1. 간편 설정 화면으로 화면 전환된다,INPUT_REQUIRED,KEEP,직독: 관찰 전용 진입/노출 — mutation·input·외부효과 0,human_confirmed
24.Launcher,55.0,홈 화면,1. 홈화면에서 좌방향 스와이프 반복 2. 화면 이동 확인,1. Photo Frame 화면까지 이동 후 유지된다,INPUT_REQUIRED,KEEP,직독: 관찰 전용 진입/노출 — mutation·input·외부효과 0,human_confirmed
24.Launcher,56.0,홈 화면,1. 홈화면에서 상뱡향 스와이프,1. 앱서랍으로 이동된다.,INPUT_REQUIRED,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 데이터 이동/복사 = mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,57.0,홈 화면,1. 홈화면에서 하방향 스와이프,1. 퀵 패널 화면 노출된다,INPUT_REQUIRED,KEEP,직독: 관찰 전용 진입/노출 — mutation·input·외부효과 0,human_confirmed
24.Launcher,58.0,홈 화면,1. 홈 화면 위젯과 변경/이동/삭제 시도,1. 홈 화면 시작페이지의 위젯은 변경/이동/삭제 불가능함,INPUT_REQUIRED,REVIEW_QUEUE,직독: fixture/editor·compose 진입/transient input/verifier 재설계/assert 분리 필요 (상세 분류는 재설계 트랙),human_confirmed
24.Launcher,59.0,홈 화면,1. 홈화면에서 시간 영역 Tap 한다,1. 시계앱 화면으로 전환된다,INPUT_REQUIRED,KEEP,직독: 관찰 전용 진입/노출 — mutation·input·외부효과 0,human_confirmed
24.Launcher,60.0,홈 화면,1. 홈화면에서 날씨위젯 영역 Tap 한다,1. 날씨 정보 업데이트 진행된다,INPUT_REQUIRED,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 시스템/외부 mutation; 홈/설정 영속 mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,63.0,단축 다이얼,1. 단축다이얼 페이지 확인,1. 6개의 추가 가능한 아이콘 영역과 우측상단 '편집' 버튼 노출됨,NAVIGATION_ONLY,KEEP,직독: 관찰 전용 진입/노출 — mutation·input·외부효과 0,human_confirmed
24.Launcher,64.0,단축 다이얼,단축다이얼 추가 아이콘 Tap,새로운 단축 다이얼 등록 팝업 발생함 - 새 연락처 등록 - 기존 연락처에서 고르기,NAVIGATION_ONLY,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 등록 = mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,65.0,단축 다이얼,단축다이얼 추가 아이콘 Tap > 팝업 창에서 새 연락처 등록,새 연락처 만들기창으로 이동되며 연락처 저장시 단축 다이얼 추가 아이콘에 새 연락처 등록된다.,NAVIGATION_ONLY,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 저장 = mutation; 등록 = mutation; 데이터 이동/복사 = mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,66.0,단축 다이얼,1. 단축다이얼 추가 아이콘 Tap > 팝업 창에서 기존 연락처 고르기 Tap 2. 연락처 목록에서 임의의 연락처 선택,1. 연락처 목록창으로 이동된다 2. 선택한 연락처가 단축다이얼에 등록된다,NAVIGATION_ONLY,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 등록 = mutation; 데이터 이동/복사 = mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,67.0,단축 다이얼,1. 연락처가 등록된 단축다이얼 Tap,1. 해당 연락처 정보창 팝업 된다 2. 전화 아이콘 노출된다,NAVIGATION_ONLY,REVIEW_QUEUE,직독: fixture/editor·compose 진입/transient input/verifier 재설계/assert 분리 필요 (상세 분류는 재설계 트랙),human_confirmed
24.Launcher,69.0,단축 다이얼,1. 화면 상단 '편집' 메뉴 Tap,"1. 전화 > 설정 > 단축 다이얼과 동일한 화면 노출된다. 2. 해당 페이지에서 단축다이얼 등록, 등록된 단축다이얼 삭제 동작 가능하다.",NAVIGATION_ONLY,REVIEW_QUEUE,직독: fixture/editor·compose 진입/transient input/verifier 재설계/assert 분리 필요 (상세 분류는 재설계 트랙),human_confirmed
24.Launcher,70.0,단축다이얼,1. 단축 다이얼 > 편집 Tap > '-' Tap > 단축 다이얼을 삭제하시겠습니까? 팝업 확인 Tap,1. 단축 다이얼의 편집창 번호 리스트에서 해당 연락처가 삭제되야 한다. 2. 단축 다이얼 화면 연락처 리스트에서 해당 연락처가 삭제 되야한다.,NAVIGATION_ONLY,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 삭제 = mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,75.0,단축다이얼,1. 단축 다이얼 > 기존 연락처에서 고르기 > 연락처 선택 > 단축 다이얼 연락처 등록 > 등록된 단축 다이얼 연락처 Tap > 더보기 > 삭제 > 해당 단축 다이얼 연락처가 리스트에 사라졌는지 확인,1. 삭제된 휴대전화의 연락처가 단축다이얼 번호 리스트에서 사라지는지 확인 2. 연락처가 없습니다. 토스트 팝업 노출되지 않는지 확인,NAVIGATION_ONLY,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 삭제 = mutation; 등록 = mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,76.0,홈화면,홈 화면 > 화면 중앙에서부터 아래서 위로 스와이프,모든 앱 화면 열린다.,INPUT_REQUIRED,KEEP,직독: 관찰 전용 진입/노출 — mutation·input·외부효과 0,human_confirmed
24.Launcher,77.0,홈화면,홈 화면 > 상단 인디케이터바를 아래로 스와이프,퀵 패널 창이 열린다.,INPUT_REQUIRED,KEEP,직독: 관찰 전용 진입/노출 — mutation·input·외부효과 0,human_confirmed
24.Launcher,78.0,홈화면,홈 화면 > 배치된 앱 Long Tap,앱 Long Tap시 하위 메뉴 팝업창 발생한다. - 다른 앱으로 변경 - 홈 화면에서 삭제 - 바로가기(즐겨찾기) 버튼에 등록,NAVIGATION_ONLY,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 삭제 = mutation; 등록 = mutation; 변경 = mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,79.0,홈화면,홈 화면 > 배치된 앱 Long Tap > 다른앱으로 변경,"1. 앱 서랍으로 이동되며 상단 ""홈 화면에 추가할 앱을 선택해 주세요."" 문구 노출된다. 2. 앱 선택시 기존 배치된 앱 위치가 선택한 앱으로 변경된다.",NAVIGATION_ONLY,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 변경 = mutation; 홈/설정 영속 mutation; 데이터 이동/복사 = mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,80.0,홈화면,홈 화면 > 배치된 앱 Long Tap > 홈 화면에서 삭제,"해당 앱 홈 화면에서 삭제되며, 해당 위치는 추가 아이콘으로 노출된다.",NAVIGATION_ONLY,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 삭제 = mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,81.0,홈화면,홈 화면 > 배치된 앱 Long Tap > 즐겨찾기 버튼에 등록,즐겨찾기 추가 팝업발생한다. '취소' 버튼 선택시 팝업 종료되고 이전화면 노출된다,NAVIGATION_ONLY,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 등록 = mutation; 홈/설정 영속 mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,82.0,홈화면,홈 화면 > 배치된 앱 Long Tap > 즐겨찾기 버튼에 등록,"즐겨찾기 추가 팝업발생한다. '확인' 버튼 선택시 즐겨찾기 등록되었다는 토스트 노출된다. - ""즐겨찾기 버튼에 등록하였습니다.""",NAVIGATION_ONLY,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 등록 = mutation; 홈/설정 영속 mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,83.0,홈화면,Hardkey '☆' 입력,바로가기(즐겨찾기) 등록된 앱 실행된다.,INPUT_REQUIRED,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 등록 = mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,84.0,홈화면,Hardkey '☆' 길게 입력,바로가기(즐겨찾기) 설정 화면으로 전환된다,INPUT_REQUIRED,REVIEW_QUEUE,cue: input 포함 — 재설계/표본 검토,cue_auto
24.Launcher,85.0,홈화면,"홈 화면 > 앱 배치 영역에 빈 공간 ""+""","1. 앱 서랍으로 이동되며 상단 ""홈 화면에 추가할 앱을 선택해 주세요."" 문구 노출된다. 2. 원하는 앱 선택시 해당 앱이 홈 화면에 배치된다.",NAVIGATION_ONLY,REVIEW_QUEUE,직독: fixture/editor·compose 진입/transient input/verifier 재설계/assert 분리 필요 (상세 분류는 재설계 트랙),human_confirmed
24.Launcher,88.0,간편 설정 화면,1. 좌측으로 스와이프해서 우측페이지(간편설정)로 이동 2. 화면 체크,"1. 상단부터 사용 데이터, 나의 휴대폰 상태 , 만보기, 돋보기 , 의료정보 , 손전등, 모든 앱, 모두 닫기, 모드 전환이 순서대로 노출된다.",INPUT_REQUIRED,KEEP,직독: 관찰 전용 진입/노출 — mutation·input·외부효과 0,human_confirmed
24.Launcher,91.0,간편 설정 화면,홈 화면 > 간편 설정 화면 > 나의 휴대폰 확인,"1. 소리모드, 글자크기, 화면 밝기가 노출된다. 2, 설정한 모드가 동기화 되는지 확인",INPUT_REQUIRED,REVIEW_QUEUE,직독: fixture/editor·compose 진입/transient input/verifier 재설계/assert 분리 필요 (상세 분류는 재설계 트랙),human_confirmed
24.Launcher,92.0,간편 설정 화면,홈 화면 > 간편 설정 화면 > 나의 휴대폰 상태 Tap,쉬운 설정 Page로 이동된다.,NAVIGATION_ONLY,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 데이터 이동/복사 = mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,93.0,간편 설정 화면,홈 화면 > 간편 설정 화면 > 만보기 Tap,만보기 App 실행된다.,NAVIGATION_ONLY,KEEP,직독: 관찰 전용 진입/노출 — mutation·input·외부효과 0,human_confirmed
24.Launcher,94.0,간편 설정 화면,홈 화면 > 간편 설정 화면 > 돋보기 Tap,돋보기 App 실행된다.,NAVIGATION_ONLY,KEEP,직독: 관찰 전용 진입/노출 — mutation·input·외부효과 0,human_confirmed
24.Launcher,95.0,간편 설정 화면,홈 화면 > 간편 설정 화면 > 의료정보 Tap,의료정보 Page로 이동된다.,NAVIGATION_ONLY,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 데이터 이동/복사 = mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,96.0,간편 설정 화면,홈 화면 > 간편 설정 화면 > 손전등 Tap,손전등이 on/off 된다.,NAVIGATION_ONLY,EXCLUDE,직독: mutation·외부효과·환경제어가 검증 주제 — observe 분리 불가,human_confirmed
24.Launcher,97.0,간편 설정 화면,1. 홈 화면 > 간편 설정 화면 > 모든 앱 보기 Tap,1. 앱 서랍 진입된다.,NAVIGATION_ONLY,KEEP,직독: 관찰 전용 진입/노출 — mutation·input·외부효과 0,human_confirmed
24.Launcher,98.0,간편 설정 화면,1. 홈 화면 > 간편 설정 화면 > 모두 닫기 Tap,"1. 실행 중인 모든앱이 종료된다. 2. ""모든 앱을 닫았습니다."" 토스트 발생한다.",NAVIGATION_ONLY,EXCLUDE,직독: mutation·외부효과·환경제어가 검증 주제 — observe 분리 불가,human_confirmed
24.Launcher,99.0,간편 설정 화면,1. 홈 화면 > 간편 설정 화면 > 모드 전환 Tap,1. 모드 전환 팝업 발생된다 2. 하기 라디오 선택 버튼 노출 된다 - 일반모드 - 간편모드(Seleted) - 취소/확인 버튼 노출된다,NAVIGATION_ONLY,REVIEW_QUEUE,직독: fixture/editor·compose 진입/transient input/verifier 재설계/assert 분리 필요 (상세 분류는 재설계 트랙),human_confirmed
24.Launcher,100.0,간편 설정 화면,1. 홈 화면 > 간편 설정 화면 > 모드 전환 Tap 2. 취소 버튼 Tap,1. 팝업이 종료되고 이전화면 노출된다,NAVIGATION_ONLY,REVIEW_QUEUE,직독: fixture/editor·compose 진입/transient input/verifier 재설계/assert 분리 필요 (상세 분류는 재설계 트랙),human_confirmed
24.Launcher,101.0,간편 설정 화면,1. 홈 화면 > 간편 설정 화면 > 모드 전환 Tap 2. 일반 모드 선택 후 확인버튼 Tap,1. 간편 모드에서 일반 모드로 화면 변경 된다,NAVIGATION_ONLY,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 변경 = mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,102.0,간편 설정 화면,1. 홈 화면 > 간편 설정 화면 > 모드 전환 Tap 2. 일반 모드 선택 후 확인버튼 Tap 3. 일반 모드 홈화면에서 모드 전환 Tap > 간편 모드 선택 후 확인버튼 Tap,1. 일반 모드에서 간편 모드로 화면 변경 된다,NAVIGATION_ONLY,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 변경 = mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,103.0,간편 설정 화면,1. 앱서랍 리스트에서 '모드 전환' Tap,1. 모드 전환 팝업 발생된다 2. 하기 라디오 선택 버튼 노출 된다 - 일반모드 - 간편모드(Seleted) - 취소/확인 버튼 노출된다,NAVIGATION_ONLY,REVIEW_QUEUE,직독: fixture/editor·compose 진입/transient input/verifier 재설계/assert 분리 필요 (상세 분류는 재설계 트랙),human_confirmed
24.Launcher,104.0,간편 설정 화면,1. 앱서랍 리스트에서 '모드 전환' Tap 2. 취소 버튼 Tap,1. 팝업 사라지고 앱서랍 화면 전환 된다,NAVIGATION_ONLY,REVIEW_QUEUE,직독: fixture/editor·compose 진입/transient input/verifier 재설계/assert 분리 필요 (상세 분류는 재설계 트랙),human_confirmed
24.Launcher,105.0,간편 설정 화면,1. 앱서랍 리스트에서 '모드 전환' Tap 2. 일반 모드 선택 후 확인 버튼 Tap,1. 일반 모드 홈화면으로 전환된다,NAVIGATION_ONLY,EXCLUDE,직독: mutation·외부효과·환경제어가 검증 주제 — observe 분리 불가,human_confirmed
24.Launcher,107.0,간편 설정 화면,홈 화면 > 간편 설정 화면 > 모든 앱 > 임의의 앱 Long Tap > 홈 화면에 추가,홈화면 빈 앱 공간에 앱 추가된다.,NAVIGATION_ONLY,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 홈/설정 영속 mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,108.0,간편 설정 화면,홈 화면 > 간편 설정 화면 > 모든 앱 > 임의의 앱 Long Tap > 홈 화면에 추가,빈공간이 없다는 토스트 발생한다. - 홈 화면에 빈공간이 없습니다.(KOR) - There is no empty space on home screen.(ENG),NAVIGATION_ONLY,REVIEW_QUEUE,"표본검사: negative 토스트(빈공간 없음) — 추가 실패=무변이, pre 홈 가득참 전제 모호",human_confirmed
24.Launcher,109.0,간편 설정 화면,홈 화면 > 간편 설정 화면 > 모든 앱 > Third home에 이미 배치된 앱 Long Tap > 홈 화면에 추가,이미 등록된 앱이라는 토스트 발생한다. - 이 앱은 이미 홈 화면에 등록되어 있습니다.(KOR) - It already exists on home screen.(ENG),NAVIGATION_ONLY,REVIEW_QUEUE,"표본검사: negative 토스트(이미 등록) — 무변이, 전제 확인 필요",human_confirmed
24.Launcher,111.0,간편 설정 화면,홈 화면 > 간편 설정 화면 > 모든 앱 > 임의의 앱 Long Tap > 바로가기 버튼에 등록,즐겨찾기 추가 팝업발생한다. '확인' 버튼 선택시 바로가기 버튼에 등록되었다는 토스트 노출된다.,NAVIGATION_ONLY,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 등록 = mutation; 홈/설정 영속 mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,112.0,포토 슬라이드 쇼,홈 화면 > 가장 우측 포토 슬라이드 쇼 페이지로 이동,1. 홈 화면에 액자모양으로 포토 슬라이드 쇼 화면이 노출된다. 2. 포토 슬라이드 쇼 화면 가운데 '사진 추가하기' 문구 노출된다.,INPUT_REQUIRED,KEEP,직독: 관찰 전용 진입/노출 — mutation·input·외부효과 0,human_confirmed
24.Launcher,113.0,포토 슬라이드 쇼,홈 화면 > 포토 슬라이드 쇼 페이지 > 사진 추가하기 Tap,"1. 포토 슬라이드 쇼 팝업 노출된다. 2. 상단부터 가장 최근사진으로 갤러리 사진 노출된다. (사진만 가능, 동영상 노출 안됨) 3. 사진은 10개까지 선택 가능하며 각각 8초 동안 표시됩니다. 팝업창 발생된다 4. 팝업창에 다시보기 체크 박스 및 취소/확인 버튼 노출된다. (체크박스 Default : Uncheck)",INPUT_REQUIRED,REVIEW_QUEUE,직독: fixture/editor·compose 진입/transient input/verifier 재설계/assert 분리 필요 (상세 분류는 재설계 트랙),human_confirmed
24.Launcher,114.0,포토 슬라이드 쇼,1. 홈 화면 > 포토 슬라이드 쇼 페이지 > 사진 추가하기 Tap 2. 팝업창에서 취소 버튼 Tap,1. 팝업 사라지고 포토 슬라이드 쇼 화면 노출된다,INPUT_REQUIRED,REVIEW_QUEUE,직독: fixture/editor·compose 진입/transient input/verifier 재설계/assert 분리 필요 (상세 분류는 재설계 트랙),human_confirmed
24.Launcher,115.0,포토 슬라이드 쇼,1. 홈 화면 > 포토 슬라이드 쇼 페이지 > 사진 추가하기 Tap 2. 팝업창에서 다시 보지 않기 체크 박스에 체크 후 확인 버튼 Tap,1. 사진첩 화면 노출되고 저장된 사진 Preview 화면 리스트업 된다,INPUT_REQUIRED,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 저장 = mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,116.0,포토 슬라이드 쇼,1. 홈 화면 > 포토 슬라이드 쇼 페이지 > 사진 추가하기 Tap 2. 팝업창에서 다시 보지 않기 체크 박스에 체크 후 확인 버튼 Tap 3. 사진첩 이미지 1개 Tap,1. 사진첩 상단 저장 버튼 활성화 된다 2. 사진첩 상단 선택 이미지 개수 노출된다,INPUT_REQUIRED,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 저장 = mutation; 상태 토글 = mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,117.0,포토 슬라이드 쇼,1. 홈 화면 > 포토 슬라이드 쇼 페이지 > 사진 추가하기 Tap 2. 팝업창에서 다시 보지 않기 체크 박스에 체크 후 확인 버튼 Tap 3. 사진첩 이미지 1개 Tap 4. 저장 버튼 Tap,1. 선택한 사진으로 포토 슬라이드 쇼 적용 된다,INPUT_REQUIRED,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 저장 = mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,118.0,포토 슬라이드 쇼,1. 홈 화면 > 포토 슬라이드 쇼 페이지 > 사진 추가하기 Tap 2. 팝업창에서 다시 보지 않기 체크 박스에 체크 후 확인 버튼 Tap 3. 사진첩 이미지 10개 Tap 4. 저장 버튼 Tap,1. 선택한 사진으로 포토 슬라이드 쇼 적용 된다 2. 8초 간격으로 선택한 10개 사진 표시된다 3. 10번째 사진 노출이 완료되면 1번째 사진으로 재 표시 된다,INPUT_REQUIRED,EXCLUDE_CANDIDATE_UNREVIEWED,cue: 저장 = mutation (구제 필터 통과 못함 — mutation 결과 서술 포함),cue_auto
24.Launcher,119.0,포토 슬라이드 쇼,1. 홈 화면 > 포토 슬라이드 쇼 페이지 > 사진 추가하기 Tap 2. 팝업창에서 다시 보지 않기 체크 박스에 체크 후 확인 버튼 Tap 3. 사진첩 이미지 11개 Tap,"1. 10개까지 선택되고 하단 ""사진 선택은 10개까지 가능합니다."" 토스트 팝업 노출된다",INPUT_REQUIRED,REVIEW_QUEUE,cue: pre fixture 전제,cue_auto
