wave,sheet,source_row,functionality,rejudge_2026_06_11,reason,judge_method
wave2,24.Launcher,84.0,홈화면,DEFER_C_UNPROVEN,hardkey 별키 long-press primitive 미실증 — keyevent longpress 단말 실증 후,human_confirmed_2026-06-11
wave2,24.Launcher,119.0,포토 슬라이드 쇼,DEFER_A_FIXTURE,갤러리 사진 11+ fixture + toast 미실증 + '다시 보지 않기' 체크=persist mutation 주의,human_confirmed_2026-06-11
wave2,24.Launcher,121.0,포토 슬라이드 쇼,REDESIGN_CANDIDATE,"편집 진입→사진 선택화면 전환 observe (사진 노출 비단정, 선택 0, BACK 이탈)",human_confirmed_2026-06-11
wave2,24.Launcher,123.0,앱서랍,REDESIGN_CANDIDATE,앱추가 버튼→앱서랍 진입+리스트 observe (LCH_085 인접 — 진입 경로 상이),human_confirmed_2026-06-11
wave2,24.Launcher,210.0,앱 / 폴더,DEFER_C_UNPROVEN,drag-merge 폴더 생성 primitive 미실증 + 알림 뱃지 fixture — 홈 구성 mutation 동반,human_confirmed_2026-06-11
wave2,24.Launcher,213.0,앱 / 폴더,DEFER_C_UNPROVEN,폴더 생성 mutation 동반 (drag-merge) + 폴더명 입력 — 원상복귀 계약 미설계,human_confirmed_2026-06-11
wave2,24.Launcher,214.0,앱 / 폴더,DEFER_C_UNPROVEN,폴더 생성 mutation 동반 + toast 미실증,human_confirmed_2026-06-11
wave2,24.Launcher,223.0,홈화면,REDESIGN_CANDIDATE,"앱서랍 초성 검색 transient_input (LCH_222 동형) — 하이라이트 axis 제거, 결과 노출 observe 한정",human_confirmed_2026-06-11
wave2,13.Status bar,6.0,,DEFER_A_FIXTURE,알람 존재 fixture(알람 fixture 승인 연계) + status bar 아이콘=screenshot axis (STR-001),human_confirmed_2026-06-11
wave2,13.Status bar,8.0,,DEFER_D_SYSTEM,사운드 모드 변경 pre = 상태 조작 + screenshot axis,human_confirmed_2026-06-11
wave2,13.Status bar,9.0,,DEFER_D_SYSTEM,진동 모드 변경 pre = 상태 조작 + screenshot axis,human_confirmed_2026-06-11
wave2,13.Status bar,10.0,,DEFER_D_SYSTEM,무음 모드 변경 pre = 상태 조작 + screenshot axis,human_confirmed_2026-06-11
wave2,13.Status bar,32.0,,DEFER_D_SYSTEM,Touch Screen Lock 설정 조작 + screenshot axis,human_confirmed_2026-06-11
wave2,30.Voice Recorder,50.0,녹음 파일 편집 - 편집 구간 선택,DEFER_C_UNPROVEN,음파 그래프 편집 구간 조정 = 시각(screenshot) 판정 + drag 조정 primitive 미실증,human_confirmed_2026-06-11
wave2,30.Voice Recorder,51.0,녹음 파일 편집 - 편집 구간 선택,DEFER_C_UNPROVEN,그래프 간격 시각 판정 (그리드 2칸) — screenshot axis,human_confirmed_2026-06-11
wave2,26.Message,202.0,새 메시지 작성,DEFER_B_COMPOSE,compose-entry 연쇄 — MSG_201 게이트 후 (B 목록 추가 후보: 제목 입력창 생성 observe),human_confirmed_2026-06-11
wave2,26.Message,209.0,새 메시지 작성,DEFER_A_FIXTURE,연락처 50 대량 fixture 비현실 + toast — 보류 권장,human_confirmed_2026-06-11
wave2,26.Message,222.0,그룹 메시지,DEFER_A_FIXTURE,그룹 대화방 존재 fixture (A-4 외부 의존 계열),human_confirmed_2026-06-11
wave2,26.Message,300.0,,DEFER_C_UNPROVEN,인디케이터 표시 = status bar screenshot axis,human_confirmed_2026-06-11
wave2,26.Message,314.0,히든메뉴에서 SCA (Service Center Address),EXCLUDE_CONFIRMED,히든메뉴 SCA(서비스센터 주소) 편집 = 통신 설정 mutation — 미승인 영역,human_confirmed_2026-06-11
wave2,26.Message,325.0,최대 글자 수 입력 제한,DEFER_C_UNPROVEN,글자수 초과 toast 미실증 — compose 종속(B) + SPM_076 중복,human_confirmed_2026-06-11
wave2,26.Message,326.0,MMS 변환 알림,DEFER_B_COMPOSE,compose 종속 — MMS 변환 표시는 화면 내 노출이면 dump 판정 가능,human_confirmed_2026-06-11
wave2,26.Message,328.0,메시지 검색,DEFER_C_UNPROVEN,검색 하이라이트 색상 판정 = screenshot axis + 대화 fixture,human_confirmed_2026-06-11
wave2,26.Message,363.0,,DEFER_C_UNPROVEN,제목 최대 입력 toast 미실증 — compose 종속(B),human_confirmed_2026-06-11
wave2,26.Message,367.0,,DEFER_A_FIXTURE,연락처 fixture (A-3 redaction 종속) + compose,human_confirmed_2026-06-11
wave2,26.Message,393.0,,DEFER_B_COMPOSE,compose 종속 + carrier별 자리수(SKT/LGU+/KT) = carrier 보류 풀 연계,human_confirmed_2026-06-11
wave2,27.Contacts,1.0,연락처 메인화면,EXCLUDE_CONFIRMED,CNT_121 near-dup — superset(121)로 통합,human_confirmed_2026-06-11
wave2,27.Contacts,121.0,연락처 메인 화면,REDESIGN_CANDIDATE,"빈 연락처 메인 observe ('연락처가 없습니다'+버튼) — pre 연락처 0 conditional, 미충족 skip",human_confirmed_2026-06-11
wave2,27.Contacts,123.0,새 연락처 만들기,REDESIGN_CANDIDATE,새 연락처 페이지 전환 observe — CNT_132 editor-entry 계약 재사용 (저장 0),human_confirmed_2026-06-11
wave2,27.Contacts,124.0,새 연락처 만들기,EXCLUDE_CONFIRMED,CNT_123 near-dup (단일 진입 부분집합),human_confirmed_2026-06-11
wave2,27.Contacts,130.0,새 연락처 만들기,REDESIGN_CANDIDATE,이름 byte-limit transient_input (MSG_119 동형) — 입력 후 저장 0 이탈+개수 전후 일치,human_confirmed_2026-06-11
wave2,27.Contacts,131.0,새 연락처 만들기,DEFER_C_UNPROVEN,글자수 초과 toast 미실증,human_confirmed_2026-06-11
wave2,27.Contacts,133.0,새 연락처 만들기,REDESIGN_CANDIDATE,이름 확장 필드 노출+입력 반영 observe — CNT_132 동형 확장 (저장 0),human_confirmed_2026-06-11
wave2,27.Contacts,134.0,새 연락처 만들기,REDESIGN_CANDIDATE,확장 필드 1개 입력 조합 — 133 시리즈 (합성 시 대표 통합 검토),human_confirmed_2026-06-11
wave2,27.Contacts,135.0,새 연락처 만들기,REDESIGN_CANDIDATE,확장 필드 2개 입력 조합 — 133 시리즈 (합성 시 대표 통합 검토),human_confirmed_2026-06-11
wave2,27.Contacts,136.0,새 연락처 만들기,REDESIGN_CANDIDATE,확장 필드 전체 입력 조합 — 133 시리즈 (합성 시 대표 통합 검토),human_confirmed_2026-06-11
wave2,27.Contacts,149.0,초성검색 하이라이트,DEFER_C_UNPROVEN,하이라이트 보라색 = 색상 판정 screenshot axis + 연락처 fixture,human_confirmed_2026-06-11
