tc_id,source_file,original_entry_detail,extracted_token,adjudication_class,resolution_requirement,proposed_keycode,rationale,required_decision
ALTBASIC_BSC_072,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 홈화면에서 Navi Up/Down/Left/Right/OK 키 입력한다 > press_key:2. 포커스 활성화된 상태에서 Navi Up키 입력한다,포커스 활성화된 상태에서 Navi Up키 입력한다,RESOLVABLE_HIGH,ADJUDICATE_RESOLVABLE_HIGH,19,single determinable key -> DPAD_UP,none
ALTBASIC_BSC_073,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 홈화면에서 Navi Up/Down/Left/Right/OK 키 입력한다 > press_key:2. 포커스 활성화된 상태에서 Navi Down키 입력한다,포커스 활성화된 상태에서 Navi Down키 입력한다,RESOLVABLE_HIGH,ADJUDICATE_RESOLVABLE_HIGH,20,single determinable key -> DPAD_DOWN,none
ALTBASIC_HDK_041,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(모든) 버튼을 누른다. > press_key:Navi 키( ↓) 버튼을 누른다.,Navi 키(모든) 버튼을 누른다.,AMBIGUOUS_RETAIN,ADJUDICATE_AMBIGUOUS,,all/any/every marker,spec_clarification
ALTBASIC_HDK_041,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(모든) 버튼을 누른다. > press_key:Navi 키( ↓) 버튼을 누른다.,Navi 키( ↓) 버튼을 누른다.,RESOLVABLE_HIGH,ADJUDICATE_RESOLVABLE_HIGH,20,single determinable key -> DPAD_DOWN,none
ALTBASIC_HDK_042,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(모든) 버튼을 누른다. > press_key:Navi 키( ↑) 버튼을 계속 누른다. > press_key:Navi 키( ↑) 버튼을 누른다.,Navi 키(모든) 버튼을 누른다.,AMBIGUOUS_RETAIN,ADJUDICATE_AMBIGUOUS,,all/any/every marker,spec_clarification
ALTBASIC_HDK_042,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(모든) 버튼을 누른다. > press_key:Navi 키( ↑) 버튼을 계속 누른다. > press_key:Navi 키( ↑) 버튼을 누른다.,Navi 키( ↑) 버튼을 계속 누른다.,RESOLVABLE_HIGH,ADJUDICATE_RESOLVABLE_HIGH,19,single determinable key -> DPAD_UP,none
ALTBASIC_HDK_042,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키(모든) 버튼을 누른다. > press_key:Navi 키( ↑) 버튼을 계속 누른다. > press_key:Navi 키( ↑) 버튼을 누른다.,Navi 키( ↑) 버튼을 누른다.,RESOLVABLE_HIGH,ADJUDICATE_RESOLVABLE_HIGH,19,single determinable key -> DPAD_UP,none
ALTBASIC_HDK_046,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Navi 키( ↓) 버튼을 꾹 누른다.,Navi 키( ↓) 버튼을 꾹 누른다.,RESOLVABLE_HIGH,ADJUDICATE_RESOLVABLE_HIGH,20,single determinable key -> DPAD_DOWN,none
ALTBASIC_HDK_052,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,wait:기기 종료 팝업창이 노출된다. > press_key:Navi 키( → ) 버튼을 반복하여 누른다.,Navi 키( → ) 버튼을 반복하여 누른다.,RESOLVABLE_HIGH,ADJUDICATE_RESOLVABLE_HIGH,22,single determinable key -> DPAD_RIGHT,none
ALTBASIC_HDK_053,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,wait:기기 종료 팝업창이 노출된다. > press_key:Navi 키( ←) 버튼을 누른다.,Navi 키( ←) 버튼을 누른다.,RESOLVABLE_HIGH,ADJUDICATE_RESOLVABLE_HIGH,21,single determinable key -> DPAD_LEFT,none
