tc_id,source_file,original_entry_detail,extracted_token,disposition,proposed_normalized_step,proposed_keycode,confidence,rationale,required_decision,device_pilot_eligible,executable
ALTBASIC_BSC_014,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. Recent App 버튼 누른다,Recent App 버튼 누른다,NOW_RESOLVABLE,press_key:KEYCODE_APP_SWITCH,187,high,single explicit key -> keycode 187,,True,True
ALTBASIC_BSC_015,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. Home 버튼 누른다,Home 버튼 누른다,NOW_RESOLVABLE,press_key:KEYCODE_HOME,3,high,single explicit key -> keycode 3,,True,True
ALTBASIC_BSC_017,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. Contact 버튼 누른다,Contact 버튼 누른다,NOW_RESOLVABLE,press_key:KEYCODE_CONTACTS,207,high,single explicit key -> keycode 207,,True,True
ALTBASIC_BSC_018,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. Message 버튼 누른다,Message 버튼 누른다,FREE_TEXT_DISCOVERY,press_key:<Message 버튼>,,low,"named hardware key, no standard keycode",device_keycode_discovery,False,True
ALTBASIC_BSC_019,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. Camera 버튼 누른다,Camera 버튼 누른다,NOW_RESOLVABLE,press_key:KEYCODE_CAMERA,27,high,single explicit key -> keycode 27,,True,True
ALTBASIC_BSC_025,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 종료 버튼 길게 누른다,종료 버튼 길게 누른다,FREE_TEXT_DISCOVERY,press_key:<종료 버튼 길게>(long-press),,low,"long-press modifier — keycode insufficient, device pilot needed",device_keycode_discovery,False,True
ALTBASIC_BSC_031,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 숫자버튼 길게 입력한다,숫자버튼 길게 입력한다,FREE_TEXT_DISCOVERY,press_key:<숫자버튼 길게>(long-press),,low,"long-press modifier — keycode insufficient, device pilot needed",device_keycode_discovery,False,True
ALTBASIC_BSC_071,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 홈화면에서 Navi Up/Down/Left/Right/OK 키 입력한다,홈화면에서 Navi Up/Down/Left/Right/OK 키 입력한다,AMBIGUOUS_NOGUESS,press_key:?,,low,any/multi-key enumeration — test intent,spec_clarification,False,True
ALTBASIC_BSC_072,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 홈화면에서 Navi Up/Down/Left/Right/OK 키 입력한다 > press_key:2. 포커스 활성화된 상태에서 Navi Up키 입력한다,홈화면에서 Navi Up/Down/Left/Right/OK 키 입력한다,AMBIGUOUS_NOGUESS,press_key:?,,low,any/multi-key enumeration — test intent,spec_clarification,False,True
ALTBASIC_BSC_072,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 홈화면에서 Navi Up/Down/Left/Right/OK 키 입력한다 > press_key:2. 포커스 활성화된 상태에서 Navi Up키 입력한다,포커스 활성화된 상태에서 Navi Up키 입력한다,ADJUDICATE,press_key:KEYCODE_DPAD_UP?,19,medium,disjunction/qualified key — intent choice,intent_choice,False,True
ALTBASIC_BSC_073,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 홈화면에서 Navi Up/Down/Left/Right/OK 키 입력한다 > press_key:2. 포커스 활성화된 상태에서 Navi Down키 입력한다,홈화면에서 Navi Up/Down/Left/Right/OK 키 입력한다,AMBIGUOUS_NOGUESS,press_key:?,,low,any/multi-key enumeration — test intent,spec_clarification,False,True
ALTBASIC_BSC_073,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 홈화면에서 Navi Up/Down/Left/Right/OK 키 입력한다 > press_key:2. 포커스 활성화된 상태에서 Navi Down키 입력한다,포커스 활성화된 상태에서 Navi Down키 입력한다,ADJUDICATE,press_key:KEYCODE_DPAD_DOWN?,20,medium,disjunction/qualified key — intent choice,intent_choice,False,True
ALTBASIC_BSC_120,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:1. 더보기 Tap > press_key:하드키 돌아가기 버튼 누른다,더보기 Tap,FREE_TEXT_DISCOVERY,tap:<더보기>,,low,tap target needs a selector,device_selector_discovery,False,True
ALTBASIC_BSC_120,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:1. 더보기 Tap > press_key:하드키 돌아가기 버튼 누른다,하드키 돌아가기 버튼 누른다,NOW_RESOLVABLE,press_key:KEYCODE_BACK,4,high,single explicit key -> keycode 4,,False,True
ALTBASIC_BSC_121,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:1. 더보기 Tap > press_key:하드키 지우기/취소 버튼 누른다,더보기 Tap,FREE_TEXT_DISCOVERY,tap:<더보기>,,low,tap target needs a selector,device_selector_discovery,False,True
ALTBASIC_BSC_121,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:1. 더보기 Tap > press_key:하드키 지우기/취소 버튼 누른다,하드키 지우기/취소 버튼 누른다,FREE_TEXT_DISCOVERY,press_key:<하드키 지우기/취소 버튼>,,low,"named hardware key, no standard keycode",device_keycode_discovery,False,True
ALTBASIC_BSC_124,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Select box Dropdown list 활성화 > 돌아가기 버튼 하드키 입력,Select box Dropdown list 활성화,FREE_TEXT_DISCOVERY,press_key:<Select box Dropdown list 활성화>,,low,unresolved free-text body,manifest_rewrite,False,True
ALTBASIC_BSC_124,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Select box Dropdown list 활성화 > 돌아가기 버튼 하드키 입력,돌아가기 버튼 하드키 입력,FREE_TEXT_DISCOVERY,press_key:<돌아가기 버튼 하드키>,,low,"named hardware key, no standard keycode",device_keycode_discovery,False,True
ALTBASIC_HDK_016,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:최근 앱 버튼을 누른다.,최근 앱 버튼을 누른다.,FREE_TEXT_DISCOVERY,press_key:<최근 앱 버튼>,,low,"named hardware key, no standard keycode",device_keycode_discovery,False,True
ALTBASIC_HDK_019,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:홈 버튼을 길게 누른다.,홈 버튼을 길게 누른다.,FREE_TEXT_DISCOVERY,press_key:<홈 버튼을 길게>(long-press),,low,"long-press modifier — keycode insufficient, device pilot needed",device_keycode_discovery,False,True
ALTBASIC_HDK_021,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:연락처 버튼을 누른다.,연락처 버튼을 누른다.,FREE_TEXT_DISCOVERY,press_key:<연락처 버튼>,,low,"named hardware key, no standard keycode",device_keycode_discovery,False,True
ALTBASIC_HDK_022,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:카메라 버튼을 누른다.,카메라 버튼을 누른다.,FREE_TEXT_DISCOVERY,press_key:<카메라 버튼>,,low,"named hardware key, no standard keycode",device_keycode_discovery,False,True
ALTBASIC_HDK_023,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:메세지 버튼을 누른다.,메세지 버튼을 누른다.,FREE_TEXT_DISCOVERY,press_key:<메세지 버튼>,,low,"named hardware key, no standard keycode",device_keycode_discovery,False,True
ALTBASIC_HDK_035,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:해당 버튼을 짧게 누른다. > press_key:해당 버튼을 길게 누른다,해당 버튼을 짧게 누른다.,NOT_A_KEY,(reclassify) 해당 버튼을 짧게,,low,bare noun mis-tagged as key (no key signal),reclassify_verifier_or_navigate,False,True
ALTBASIC_HDK_035,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:해당 버튼을 짧게 누른다. > press_key:해당 버튼을 길게 누른다,해당 버튼을 길게 누른다,FREE_TEXT_DISCOVERY,press_key:<해당 버튼을 길게>(long-press),,low,"long-press modifier — keycode insufficient, device pilot needed",device_keycode_discovery,False,True
