tc_id,source_file,original_entry_detail,extracted_token,not_a_key_subtype,confidence,proposed_action,resolution_requirement,rationale,required_decision
ALTBASIC_HDK_035,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:해당 버튼을 짧게 누른다. > press_key:해당 버튼을 길게 누른다,해당 버튼을 짧게 누른다.,KEYCODE_DISCOVERY,low,press_key:<keycode-discovery>,KEYCODE,hardware/nav key or press modifier,device_keycode_discovery
ALTBASIC_HDK_036,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:해당 버튼을 짧게 누른다. > press_key:해당 버튼을 길게 누른다,해당 버튼을 짧게 누른다.,KEYCODE_DISCOVERY,low,press_key:<keycode-discovery>,KEYCODE,hardware/nav key or press modifier,device_keycode_discovery
ALTBASIC_HDK_037,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:해당 버튼을 짧게 누른다. > press_key:해당 버튼을 길게 누른다,해당 버튼을 짧게 누른다.,KEYCODE_DISCOVERY,low,press_key:<keycode-discovery>,KEYCODE,hardware/nav key or press modifier,device_keycode_discovery
ALTBASIC_HDK_038,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:해당 버튼을 짧게 누른다. > press_key:해당 버튼을 길게 누른다,해당 버튼을 짧게 누른다.,KEYCODE_DISCOVERY,low,press_key:<keycode-discovery>,KEYCODE,hardware/nav key or press modifier,device_keycode_discovery
ALTBASIC_QPN_004,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:화면 상단부에서 아래로 스와이프하여 퀵패널 진입 > 펼치기 Tap,펼치기 Tap,SELECTOR_DISCOVERY,low,tap:<selector-discovery>,SELECTOR,bare UI-label / explicit tap target,device_selector_discovery
ALTBASIC_QPN_008,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:홈 스크린에서 퀵 패널 활성화 한다 > tap:편집 버튼 Tap 한다 > press_key:뒤로가기,뒤로가기,KEYCODE_DISCOVERY,low,press_key:<keycode-discovery>,KEYCODE,hardware/nav key or press modifier,device_keycode_discovery
ALTBASIC_QPN_012,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:퀵 패널 > 전원 버튼 > 긴급 전화,긴급 전화,MANUAL_RETAIN,low,(manual),BLOCKER,truncated or sensitive phrase,manual_review
ALTBASIC_QPN_043,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:퀵 패널 > 화면 터치 잠금 탭,화면 터치 잠금 탭,VERIFIER_SCREEN_PRESENT,medium,verifier:screen_present,VERIFIER_SCREEN,"screen/state reference, no focus",screen_verifier_decision
ALTBASIC_QPN_044,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,tap:1. 퀵 패널 > 화면 터치 잠금 탭 > tap:2. 취소버튼 Tap,화면 터치 잠금 탭,VERIFIER_SCREEN_PRESENT,medium,verifier:screen_present,VERIFIER_SCREEN,"screen/state reference, no focus",screen_verifier_decision
ALTBASIC_QPN_123,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:WI-FI focus > Press right > press_key:Wi-Fi focus > Press down,WI-FI focus,VERIFIER_FOCUS_CANDIDATE,medium,verifier:focus_state?,VERIFIER_FOCUS_CANDIDATE,"bare focus token, move-vs-verify ambiguous",focus_intent_decision
