sheet,tc_id,functionality,procedure,expected,classification,cue,judge_method
1.Basic principle,80.0,Multi Selection,1. 리스트 화면에서 임의 항목 Long Tap,"1. Long Tap 대상 항목이 체크 표시되고 Highlight 된다 2. 선택하지 않은 항목들은 체크 안된 상태로 표시된다 3. 타이틀 영역에 닫기 아이콘, 1개 선택됨, Dropdown 아이콘, 삭제아이콘, 공유 아이콘 노출된다",REVIEW_QUEUE,삭제; 공유,human_confirmed
1.Basic principle,81.0,Multi Selection,1. 리스트 화면에서 임의 항목 Long Tap 2. Long Tap 했던 항목을 다시 Tap 한다,"1. 체크 항목이 해제된다 2. 타이틀 영역에 닫기아이콘, 0개 선택됨, Dropdown 아이콘 노출된다",REVIEW_QUEUE,토글,human_confirmed
1.Basic principle,82.0,Multi Selection,1. 리스트 화면에서 임의 항목 Long Tap 2. Long Tap 했던 항목을 다시 Tap 한다 3. 닫기 아이콘 Tap 한다,1. 이전 리스트 화면으로 전환된다,REVIEW_QUEUE,fixture pre,cue_auto
1.Basic principle,83.0,Multi Selection,1. 리스트 화면에서 임의 항목 Long Tap 2. 다른 임의 항목 Tap 한다,"1. Long Tap 대상 항목이 체크 표시되고 Highlight 된다 2. Tap한 항목이 체크 되고 Highlight 된다 3. 선택하지 않은 항목들은 체크 안된 상태로 표시된다 4. 타이틀 영역에 닫기아이콘, 2개 선택됨, Dropdown 아이콘, 삭제아이콘, 공유 아이콘 노출된다",REVIEW_QUEUE,삭제; 공유,human_confirmed
1.Basic principle,84.0,Multi Selection,1. 화면 상단 Dropdown 아이콘 Tap 한다,"1. 미선택한 리스트가 있는 경우 ""전체 선택"" Dropdown 메뉴 노출된다",REVIEW_QUEUE,fixture pre,cue_auto
1.Basic principle,85.0,Multi Selection,1. 화면 상단 'N개 선택됨' 텍스트 영역 터치로 Tap 한다,"1. 미선택한 리스트가 있는 경우 ""전체 선택"" Dropdown 메뉴 노출된다",REVIEW_QUEUE,fixture pre,cue_auto
1.Basic principle,86.0,Multi Selection,1. 화면 상단 'N개 선택됨' 텍스트 영역 터치로 Tap 한다,"1. ""전체 선택 해제 "" Dropdown 메뉴 노출된다",REVIEW_QUEUE,토글,human_confirmed
1.Basic principle,87.0,Multi Selection,1. 화면 상단화면 상단 Dropdown 아이콘 터치로 Tap 한다,"1. 미선택한 리스트가 있는 경우 ""전체 선택"" Dropdown 메뉴 노출된다",REVIEW_QUEUE,fixture pre,cue_auto
1.Basic principle,88.0,Multi Selection,1. 화면 상단화면 상단 Dropdown 아이콘 터치로 Tap 한다,"1. ""전체 선택 해제 "" Dropdown 메뉴 노출된다",REVIEW_QUEUE,토글,human_confirmed
1.Basic principle,89.0,Multi Selection,1. 화면 상단 'N개 선택됨' 텍스트 영역 터치로 Tap 한다,"1.텍스트 영역 터치시 Dropdown 메뉴 노출된다 2. 미선택한 리스트가 있는 경우 ""전체 선택"" Dropdown 메뉴 노출된다 3. 선택한 리스트는 체크박스가 표시되며 선택한 리스트의 배경 UI가 하늘색으로 표시된다.",REVIEW_QUEUE,fixture pre,cue_auto
1.Basic principle,90.0,Multi Selection,1. 화면 상단화면 상단 Dropdown 아이콘 터치로 Tap 한다,"1. 미선택한 리스트가 있는 경우 ""전체 선택"" Dropdown 메뉴 노출된다 2. 선택한 리스트는 체크박스가 표시되며 선택한 리스트의 배경 UI가 하늘색으로 표시된다.",REVIEW_QUEUE,fixture pre,cue_auto
1.Basic principle,95.0,Multi Selection,"1. 화면 상단 Dropdown 아이콘 Tap 한다 2. ""전체 선택"" Tap 한다","1. 리스트 전체 체크 표시되고 Highlight 된다 2. 타이틀 영역에 닫기아이콘, 4개 선택됨, Dropdown 아이콘, 삭제아이콘, 더보기 아이콘 노출된다",REVIEW_QUEUE,삭제,human_confirmed
1.Basic principle,96.0,Multi Selection,1. 리스트 화면에서 임의 항목 Long Tap,1. 대상 항목이 체크박스 표시되지 않고 프로필 아이콘이 체크표시로 변경된다.,EXCLUDE_CANDIDATE_UNREVIEWED,변경,cue_auto
1.Basic principle,97.0,Multi Selection,1. 리스트 화면에서 임의 항목 Tap,1. 대상 항목이 체크박스 표시된다.,REVIEW_QUEUE,cue 무해,human_confirmed
1.Basic principle,98.0,Multi Selection,"1. 화면 상단 Dropdown 아이콘 Tap 한다 2. ""전체 선택"" Tap 한다 3. Dropdown 아이콘 Tap 한다","1. ""전체 선택 해제"" Dropdown 메뉴 노출된다",REVIEW_QUEUE,토글,human_confirmed
1.Basic principle,99.0,Multi Selection,"1. 화면 상단 Dropdown 아이콘 Tap 한다 2. ""전체 선택"" Tap 한다 3. Dropdown 아이콘 Tap 한다 4. ""전체 선택 해제"" Tap 한다","1. 리스트 전체 체크 해제된다 2. 타이틀 영역에 닫기아이콘, 0개 선택됨, Dropdown 아이콘 노출된다",REVIEW_QUEUE,토글,human_confirmed
1.Basic principle,101.0,Search,1. 연락처 검색 화면 진입 2. 연락처 검색 영역 Tap,1. 화면 하단 Soft 키패드 노출된다,REVIEW_QUEUE,input,cue_auto
1.Basic principle,102.0,Search,"1. 연락처 검색 화면 진입 2. 연락처 검색 영역 Tap 3. ""ㅇㅇ"" 입력","1. 검색 영역에 ""ㅇㅇ"" 노출된다 2. 화면 중간에 ""연락처 없음"" 노출된다",REVIEW_QUEUE,input,cue_auto
1.Basic principle,103.0,Search,"1. 연락처 검색 화면 진입 2. 연락처 검색 영역 Tap 3. ""ㅇㅇ"" 입력 후 우측 닫기(X) 아이콘 Tap",1. 입력한 검색어 삭제되고 연락처 검색 초기 화면으로 전환된다,REVIEW_QUEUE,삭제,human_confirmed
1.Basic principle,105.0,Search,"1. 연락처 검색 화면 진입 2. 연락처 검색 영역 Tap 3. ""진"" 입력","1. 화면하단 Keypad 노출된다 2. ""진""이 포함된 연락처 검색되어 노출된다 3. 입력 Text에 해당하는 부분이 Highlight 된다",REVIEW_QUEUE,input,cue_auto
1.Basic principle,107.0,Search,1. 타이틀 검색 화면 진입 2. 돋보기 아이콘 Tap 3. 검색 영역 Tap,1. 화면 하단 키패드 노출된다,REVIEW_QUEUE,input,cue_auto
1.Basic principle,108.0,Search,"1. 타이틀 검색 화면 진입 2. 돋보기 아이콘 Tap 3. ""ㅇㅇ"" 입력","1. 검색 영역에 ""ㅇㅇ"" 노출된다 2. 화면 중간에 ""결과 없음"" 노출된다",REVIEW_QUEUE,input,cue_auto
1.Basic principle,109.0,InputBox,1. 입력 방식을 '기호'로 변경한다 2. Inputbox에 * 입력한다,"1. Inputbox 하단에 /"":*? 는 입력할 수 없습니다.' 빨강색 문구 노출된다 2. 확인 버튼 비활성화 된다",REVIEW_QUEUE,토글; 변경,human_confirmed
1.Basic principle,110.0,InputBox,1. 입력 방식을 '기호'로 변경한다 2. Inputbox에 / 입력한다,"1. Inputbox 하단에 /"":*? 는 입력할 수 없습니다.' 빨강색 문구 노출된다 2. 확인 버튼 비활성화 된다",REVIEW_QUEUE,토글; 변경,human_confirmed
1.Basic principle,111.0,InputBox,1. 입력 방식을 '기호'로 변경한다 2. Inputbox에 : 입력한다,"1. Inputbox 하단에 /"":*? 는 입력할 수 없습니다.' 빨강색 문구 노출된다 2. 확인 버튼 비활성화 된다",REVIEW_QUEUE,토글; 변경,human_confirmed
1.Basic principle,112.0,InputBox,1. 입력 방식을 '기호'로 변경한다 2. Inputbox에 ? 입력한다,"1. Inputbox 하단에 /"":*? 는 입력할 수 없습니다.' 빨강색 문구 노출된다 2. 확인 버튼 비활성화 된다",REVIEW_QUEUE,토글; 변경,human_confirmed
1.Basic principle,113.0,InputBox,1. 입력 방식을 '기호'로 변경한다 2. Inputbox에 '가나' 입력한다,1. 확인 버튼 선택시 Inputbox 하단에 '같은 이름의 파일이 이미 있습니다.' 빨강색 문구 노출된다 2. 확인 버튼 비활성화 된다,REVIEW_QUEUE,토글; 변경,human_confirmed
1.Basic principle,114.0,InputBox,1. 입력 방식을 '한글'로 변경한다 2. Inputbox에 Text를 최대로 입력한다 (Max 120 Byte),1. Inputbox 하단에 '더 이상 입력할 수 없습니다.' 빨강색 문구 노출된다 2. Max text 입력될 경우 더 이상 입력이 안되어야 한다 3. 확인 버튼 비활성화 된다,REVIEW_QUEUE,토글; 변경,human_confirmed
1.Basic principle,115.0,Font Size,1. 글꼴 크기 설정 Bar 확인한다,"1. 글꼴 크기 설정은 5단계로 변경 할수 있다 (small/medium/large/larger/largest) 2. Default 크기는 ""medium""",EXCLUDE_CANDIDATE_UNREVIEWED,변경,cue_auto
1.Basic principle,116.0,Font Size,1. 글꼴 크기 설정 Bar를 small로 설정한다,1. 글꼴 크기에 따라 화면 Text 축소 된다,EXCLUDE,cue 무해,human_confirmed
1.Basic principle,117.0,Font Size,1. 글꼴 크기 설정 Bar를 large로 설정한다,1. 글꼴 크기에 따라 화면 Text 확대 된다,EXCLUDE,cue 무해,human_confirmed
1.Basic principle,118.0,Font Size,1. 글꼴 크기 설정 Bar를 larger로 설정한다,1. 글꼴 크기에 따라 화면 Text 확대 된다 2. 확대에 따른 Text 잘림 발생 없어야 한다,EXCLUDE,cue 무해,human_confirmed
1.Basic principle,130.0,Landscape Mode,1. 설정 > 연결된 기기 > 새 기기와 페어링 > 기기이름 Tap,1. 팝업박스 텍스트 크기가 한 가지 크기로 고정되어야 한다.,REVIEW_QUEUE,cue 무해,human_confirmed
1.Basic principle,133.0,Landscape Mode,1. 설정 > 안심기능 > 보호자 등록 > 보호자 추가하기 Tap,1. 팝업박스 텍스트 크기가 한 가지 크기로 고정되어야 한다.,EXCLUDE_CANDIDATE_UNREVIEWED,등록,cue_auto
1.Basic principle,134.0,Landscape Mode,1. 설정 > 안심기능 > 안심메세지 Tap,1. 팝업박스 텍스트 크기가 한 가지 크기로 고정되어야 한다.,REVIEW_QUEUE,cue 무해,human_confirmed
1.Basic principle,136.0,Landscape Mode,1. 설정 > 알림 > 기기 및 앱 알림 > 허용 앱 > 알림 액세스 허용 토글 Tap,1. 팝업박스 텍스트 크기가 한 가지 크기로 고정되어야 한다.,EXCLUDE_CANDIDATE_UNREVIEWED,토글,cue_auto
1.Basic principle,137.0,Landscape Mode,1. 설정 > 개인 정보 보호 > 잠금 화면에 표시할 알림 Tap,1. 팝업박스 텍스트 크기가 한 가지 크기로 고정되어야 한다.,REVIEW_QUEUE,cue 무해,human_confirmed
1.Basic principle,138.0,Landscape Mode,1. 설정 > 소리 및 진동 > 전화 벨소리 Tap,1. 팝업박스 텍스트 크기가 한 가지 크기로 고정되어야 한다.,EXCLUDE_CANDIDATE_UNREVIEWED,진동,cue_auto
