sheet,tc_id,functionality,procedure,expected,csv_safety_prev,classification,reason,fixture_dependency,input_flag
29.Clock,35.0,알람 앱 실행,1. 시계 앱 실행,1. 알람 list 화면 진입 된다 2. Default 알람 비활성화 상태로 노출된다 3. 화면 하단에 알람/세계시간/타이머/스톱워치 메뉴 노출된다 4. 알람 추가 버튼이 노출된다,INPUT_REQUIRED,KEEP,clean-state 진입+노출 observe; pre=설정 알람 없음,N,N
29.Clock,36.0,알람 앱 실행,시계 앱 실행 > 기본 알람 삭제 > 알람 페이지의 문구 확인,1. '알람이 없습니다.'(KOR) - 'There is no alarm.'(ENG) 문구 노출된다. 2. '알람 추가' 버튼 문구 노출된다.,NAVIGATION_ONLY,EXCLUDE,기본 알람 삭제 = mutation,N,N
29.Clock,37.0,알람 앱 실행,1. 시계 앱 실행,1. 알람 list 화면 진입 된다 2. 설정된 알람 list 노출 된다 3. 알람에 대한 활성화/비활성화 표시 된다,INPUT_REQUIRED,REVIEW_QUEUE,fixture: 알람 존재 전제(생성 fixture+cleanup 설계 필요); 절차 자체는 observe,Y,N
29.Clock,38.0,알람 알람 설정,1. 시계 앱 실행 2. 알람 추가 버튼 Tap,"1. 알람 설정 화면으로 전환 된다 2. 알람 설정 화면 구성 - 오전/오후, 현재시간 노출 - 시계 화면에서 알람 시간 설정가능 - 취소/확인 버튼 - 키보드 Icon Tap 할 경우 시간 직접 입력 화면으로 변경됨",INPUT_REQUIRED,REVIEW_QUEUE,알람 편집 화면 진입 — no-save 보장(취소 이탈) 설계 필요,N,N
29.Clock,39.0,알람 알람 설정,1.시계 > 설정된 알람 Off > On 2.시계 > 설정된 알람 On > Off,1.'지금부터 몇시 몇분 후로 알람이 설정되었습니다.' 문구 표시됨 2. 표시되는 문구 없어야 함,READ_ONLY,EXCLUDE,알람 On/Off 토글 = mutation,N,N
29.Clock,40.0,알람 설정 - 확장,1. 시계 앱 실행 2. 설정된 알람 우측하단 확장 버튼 Tap,1. 설정된 알람의 상세 항목 표시된다 2. 반복설정에 따른 요일별 노출된다 3. 알람 설정음이 표시된다 4. 진동 여부 체크 박스 노출된다 5. 알람 삭제 버튼 노출된다,INPUT_REQUIRED,REVIEW_QUEUE,fixture: 알람 존재 전제; 확장 상세 observe,Y,N
29.Clock,41.0,알람 - 삭제,1. 시계 앱 실행 2. 설정된 알람 우측하단 확장 버튼 Tap 3. 삭제 Tap,알람 삭제되고 하단 토스트 발생한다. - 알람이 삭제되었습니다. '실행취소'(KOR) - Alarm has been deleted. 'Undo'(ENG),NAVIGATION_ONLY,EXCLUDE,알람 삭제 = mutation,N,N
29.Clock,42.0,알람 - 삭제 취소,"1. 시계 앱 실행 2. 설정된 알람 우측하단 확장 버튼 Tap 3. 삭제 Tap 4. 하단 토스트 발생시 ""실행 취소""",하단 삭제되었다는 토스트가 삭제 취소되었다는 토스트로 변경된다. - 삭제가 취소되었습니다.(KOR) - Cancelled.(ENG),NAVIGATION_ONLY,EXCLUDE,알람 삭제+실행취소 chain = mutation,N,N
29.Clock,43.0,알람 반복설정,1. 시계 앱 실행 2. 설정된 알람 우측하단 확장 버튼 Tap 3. 반복 설정에 대한 체크 박스 Tap,1. 반복 하단 요일 선택할 수 있는 항목 노출된다 2. 선택된 요일마다 해당 알람이 발생 되어야 한다,INPUT_REQUIRED,EXCLUDE,반복 설정 = mutation + 알람 발생 검증,N,N
29.Clock,44.0,알람 반복설정 - 요일 선택,1. 시계 앱 실행 2. 설정된 알람 우측하단 확장 버튼 Tap 3. 반복 설정에 대한 체크 박스 Tap 4. 요일별 Tap,1. 선택된 요일이 활성화 된다 2. 재선택 시 요일이 비활성화 된다,INPUT_REQUIRED,EXCLUDE,요일 선택 토글 = mutation,N,N
29.Clock,45.0,알람 반복설정 해제,1. 시계 앱 실행 2. 설정된 알람 우측하단 확장 버튼 Tap 3. 반복 설정에 대한 체크 박스 해제,1. 요일 선택 항목이 사라진다,INPUT_REQUIRED,EXCLUDE,반복 해제 = mutation,N,N
29.Clock,46.0,알람 알람음 선택,1. 시계 앱 실행 2. 설정된 알람 우측하단 확장 버튼 Tap 3. 알람음 기본값 Tap,1. 알람음 설정 화면으로 전환된다 2. 내 벨소리 추가 및 기기 벨소리 선택 list 노출 된다,NAVIGATION_ONLY,REVIEW_QUEUE,fixture: 알람 존재; 알람음 picker 진입 observe(선택 금지) 이탈 설계 필요,Y,N
29.Clock,47.0,알람 진동 설정,1. 시계 앱 실행 2. 설정된 알람 우측하단 확장 버튼 Tap 3. 진동 체크박스 Tap,1. 진동 체크박스 설정 시 진동 발생된다 2. 설정된 알람 발생 시 진동이 발생된다,INPUT_REQUIRED,EXCLUDE,진동 설정 = mutation + 알람 발생 검증,N,N
29.Clock,48.0,알람 진동 해제,1. 시계 앱 실행 2. 설정된 알람 우측하단 확장 버튼 Tap 3. 진동 체크박스 Tap,1. 진동 체크박스 해제 시 진동은 발생 안된다 2. 설정된 알람 발생 시 진동이 발생하지 않는다,INPUT_REQUIRED,EXCLUDE,진동 해제 = mutation + 알람 발생 검증,N,N
29.Clock,49.0,알람 라벨 설정,1. 시계 앱 실행 2. 설정된 알람 우측하단 확장 버튼 Tap 3. 라벨 Tap,1. 알람에 대한 라벨 입력창 노출 된다 2. 취소 / 확인 버튼 노출 된다,INPUT_REQUIRED,REVIEW_QUEUE,fixture: 알람 존재; 라벨 입력창 노출 observe — editor no-save 설계,Y,N
