row_key,sheet,tc_id,functionality,redesign_pattern,confidence,reason
1.Basic principle#14.0,1.Basic principle,14.0,Hard Key,-,0.85,"Recent App 버튼시 최근앱 리스트 화면 전환 - 화면전환 assert만, mutation 없음"
1.Basic principle#15.0,1.Basic principle,15.0,Hard Key,-,0.92,"Home 버튼시 홈스크린 전환 - 고정 화면전환 assert, mutation 없음"
1.Basic principle#17.0,1.Basic principle,17.0,Hard Key,-,0.88,"Contact 버튼시 연락처앱 초기화면 전환 - 앱 초기화면 assert, 데이터무관"
1.Basic principle#18.0,1.Basic principle,18.0,Hard Key,-,0.88,"Message 버튼시 메시지앱 초기화면 전환 - 앱 초기화면 assert, 데이터무관"
1.Basic principle#19.0,1.Basic principle,19.0,Hard Key,-,0.85,Camera 버튼시 카메라앱 초기화면 전환 - 앱 초기화면 assert만
1.Basic principle#25.0,1.Basic principle,25.0,Hard Key,popup_cancel,0.85,종료 길게시 전원종료 팝업(긴급전화/끄기/재시작) 고정라벨 observe
1.Basic principle#31.0,1.Basic principle,31.0,Hard Key,popup_cancel,0.82,"QuickDialer 미설정 precondition 명시, 숫자길게→'설정번호 없다' 고정문구 observe"
1.Basic principle#38.0,1.Basic principle,38.0,Hard Key,-,0.9,Navi Up 짧게시 포커스 위로 이동 - focus 이동 assert만
1.Basic principle#39.0,1.Basic principle,39.0,Hard Key,-,0.85,Navi Up 길게시 포커스 위로 빠르게 이동 - focus 이동 assert만
1.Basic principle#40.0,1.Basic principle,40.0,Hard Key,-,0.9,Navi Down 짧게시 포커스 아래 이동 - focus 이동 assert만
1.Basic principle#41.0,1.Basic principle,41.0,Hard Key,-,0.85,Navi Down 길게시 포커스 아래 빠르게 이동 - focus 이동 assert만
1.Basic principle#42.0,1.Basic principle,42.0,Hard Key,-,0.9,Navi Left 짧게시 포커스 왼쪽 이동 - focus 이동 assert만
1.Basic principle#43.0,1.Basic principle,43.0,Hard Key,-,0.85,Navi Left 길게시 포커스 왼쪽 빠르게 이동 - focus 이동 assert만
1.Basic principle#44.0,1.Basic principle,44.0,Hard Key,-,0.9,Navi Right 짧게시 포커스 오른쪽 이동 - focus 이동 assert만
1.Basic principle#45.0,1.Basic principle,45.0,Hard Key,-,0.85,Navi Right 길게시 포커스 오른쪽 빠르게 이동 - focus 이동 assert만
1.Basic principle#71.0,1.Basic principle,71.0,Focus 이동,-,0.82,홈서 Navi키 입력시 포커스 활성화되어 전화앱(고정) 위치 - focus 이동 assert만
1.Basic principle#72.0,1.Basic principle,72.0,Focus 이동,-,0.8,포커스 활성서 Navi Up시 갤러리앱 아이콘으로 포커스 이동 - focus 이동 assert만
1.Basic principle#73.0,1.Basic principle,73.0,Focus 이동,-,0.8,포커스 활성서 Navi Down시 앱서랍 진입 - 화면전환 assert만
1.Basic principle#120.0,1.Basic principle,120.0,More menu,popup_cancel,0.78,더보기 Tap→돌아가기시 Dropdown 닫히고 포커스 더보기 유지 - 닫힘/focus assert
1.Basic principle#121.0,1.Basic principle,121.0,More menu,popup_cancel,0.8,"더보기 탭으로 dropdown 연 뒤 하드키 취소로 닫힘+더보기 아이콘 focus 유지. 고정 아이콘 focus assert, mutation 없음"
1.Basic principle#124.0,1.Basic principle,124.0,Select box - Focus,popup_cancel,0.72,"dropdown 활성 후 뒤로가기로 첫 항목 focus 소실. focus 부재 관찰 가능, 사용자 데이터 아님, mutation 없음"
11.Hard Key#16.0,11.Hard Key,16.0,메뉴 키 정의 (최근 앱 버튼),-,0.72,"최근앱 버튼 시 '최근항목이 없습니다' 고정 텍스트. 빈 recents=기본 상태, presence assert 가능"
11.Hard Key#19.0,11.Hard Key,19.0,메뉴 키 정의 (홈 버튼),-,0.72,"홈 길게 시 퀵패널 열림. 화면 전환 관찰, 앱실행 선택('혹은'), mutation 없음"
11.Hard Key#21.0,11.Hard Key,21.0,메뉴 키 정의 ( 연락처 버튼),-,0.78,"연락처 버튼 시 화면 이동, 빈 시 '연락처가 없습니다'+'새 연락처 만들기' 고정 텍스트. 빈 상태 명시"
11.Hard Key#22.0,11.Hard Key,22.0,메뉴 키 정의 (카메라 버튼),-,0.8,"카메라 버튼 시 카메라 화면 이동. 화면 전환 관찰만, mutation 없음"
11.Hard Key#23.0,11.Hard Key,23.0,메뉴 키 정의( 메세지 버튼),-,0.74,"메시지 버튼 시 보관함 이동, 설정 리스트 고정 라벨, 빈 시 '대화가 없습니다'. fixed 요소 assert"
11.Hard Key#34.0,11.Hard Key,34.0,메뉴 키 정의 ( Navi 키 모든 버튼),-,0.78,"초점 포인트 없을 때 버튼 시 초점 생성. focus 요소 presence assert, mutation 없음"
11.Hard Key#35.0,11.Hard Key,35.0,메뉴 키 정의 ( Navi 키 ↑  버튼),-,0.8,"Navi↑ 짧게/길게 시 초점 위쪽 이동. focus 이동 관찰만, 초점 존재 precondition 명시, mutation 없음"
11.Hard Key#36.0,11.Hard Key,36.0,메뉴 키 정의 ( Navi 키 ↓ 버튼),-,0.8,"Navi↓ 짧게/길게 시 초점 아래쪽 이동. focus 이동 관찰만, mutation 없음"
11.Hard Key#37.0,11.Hard Key,37.0,메뉴 키 정의 ( Navi 키 ← 버튼),-,0.8,"Navi← 짧게/길게 시 초점 왼쪽 이동. focus 이동 관찰만, mutation 없음"
11.Hard Key#38.0,11.Hard Key,38.0,메뉴 키 정의 ( Navi 키 → 버튼),-,0.8,"Navi→ 짧게/길게 시 초점 오른쪽 이동. focus 이동 관찰만, mutation 없음"
11.Hard Key#41.0,11.Hard Key,41.0,메뉴 키 정의 ( Navi 키 모든 버튼),-,0.76,"홈서 Navi 시 전화앱 초점 활성, ↓ 더이상 이동 안함. focus 경계 assert, mutation 없음"
11.Hard Key#42.0,11.Hard Key,42.0,메뉴 키 정의 ( Navi 키 모든 버튼),-,0.74,"홈서 Navi↑ 반복 시 초점 위로 이동·전화앱서 시작. focus 이동 관찰만, mutation 없음"
11.Hard Key#43.0,11.Hard Key,43.0,메뉴 키 정의 ( Navi 키 모든 버튼),-,0.78,"최하단 초점서 Navi↑ 시 한단계 위 이동. precondition에 초점위치 명시, focus 이동 관찰만"
