tc_id,entry_status,entry_route,input_used,input_injection_status,safety_status,literal_expected,literal_observed,desc_observed,verify_status,focus_observed,state_diff,divergence,evidence_files,note
"ALTBASIC_QPN_001","ENTRY_OBSERVED","HOME→swipe×2→full page1/2","swipe+DPAD page 이동","GESTURE_OBSERVED","READ_ONLY","기본 QS 16항목","active tile 12 + edit/settings/power control","Wi-Fi,<SSID>는 Wi-Fi로 마스킹","LITERAL_PENDING","page1/2 inventory","qs_tiles diff 0","설정/종료는 text가 아닌 resource control로 노출","QPN_001_00_full_page1.xml;QPN_001_01_full_page2.xml","tracked 문서에 SSID 미전사"
"ALTBASIC_QPN_002","ENTRY_OBSERVED","full→edit tap","edit control tap; DOWN-only inventory","TOUCH_TAP_OBSERVED","READ_ONLY_NO_SAVE","추가 가능 타일 11종","Quick Share/QR 코드 스캐너/기기 컨트롤/화면 녹화/화면 전송/집중 모드/마이크 사용/알람/색상 보정","—","LITERAL_PENDING","edit candidate inventory","qs_tiles diff 0","취침 모드 미관찰 (핫스팟은 관찰됨)","QPN_002_00_edit_screen.xml;QPN_002_101~114_scan_down.xml","드래그·추가·삭제·초기화·저장 0. 정정 2026-08-20 Claude 재검증: candidate inventory 가 스크롤 단일 dump(scan_after14/22)로 계산돼 행 clipping — scan_down 101~114 합집합 재추출 결과 edit tile_label 전수 25종(active 12 + candidate 13)"
"ALTBASIC_QPN_004","ENTRY_OBSERVED","HOME→상단 swipe→expand control tap","swipe; tap(240,278)","GESTURE_AND_TAP_OBSERVED","NAVIGATION_ONLY","퀵패널 전체 화면","brightness_slider","quick_qs_panel_open→brightness_slider","LITERAL_CONFIRMED","—","qs_tiles diff 0","첫 entry timing 1회 미개방; fresh retry 정상","QPN_004_retry_00_after_swipe.xml;QPN_004_retry_01_after_expand_tap.xml","control bounds gate 후 tap"
"ALTBASIC_QPN_008","ENTRY_OBSERVED","full→edit tap→BACK","tap; BACK","TOUCH_TAP_OBSERVED","READ_ONLY_NO_SAVE","편집 전 퀵패널 화면","full stage 복귀","brightness_slider","LITERAL_CONFIRMED","—","qs_tiles diff 0","—","QPN_008_00_edit.xml;QPN_008_01_after_back.xml","편집 mutation 0"
"ALTBASIC_QPN_010","ENTRY_OBSERVED","full→settings control tap","settings tap","TOUCH_TAP_OBSERVED","NAVIGATION_ONLY","설정 화면","com.android.settings","settings_button_container","LITERAL_CONFIRMED","—","0","—","QPN_010_00_after_settings_tap.xml;QPN_010_00_after_settings_tap.png","설정값 접촉 0"
"ALTBASIC_QPN_011","ENTRY_OBSERVED","full→power control tap","power tap; BACK","TOUCH_TAP_OBSERVED","ELEVATED_CAUTION_NO_INTERNAL_OK","긴급 전화/전원 끄기/다시 시작","3 literal 전부 관찰","pm_lite","LITERAL_CONFIRMED","—","0","—","QPN_011_00_power_popup.xml;QPN_011_00_power_popup.png","팝업 내부 OK 0"
"ALTBASIC_QPN_012","ENTRY_OBSERVED","full→power control tap","popup 노출만; BACK","NOT_EXECUTED_INSIDE_POPUP","SAFETY_BLOCKED","긴급 전화 화면","팝업 literal 긴급 전화만 보조 관찰","focused container descendant=긴급 전화","SAFETY_BLOCKED","긴급 전화 control focus 보조 관찰","0","원문 화면 전환 미실행","QPN_012_00_power_popup_safety_only.xml;QPN_012_result.txt","발신 위험으로 popup 내부 OK/tap 0"
"ALTBASIC_QPN_026","NOT_EXECUTED","active 모바일 데이터 tile 확인","touch-longtap 0","LONGTAP_INJECTION_UNRESOLVED","PENDING_MUTATION_RISK_APPROVAL","모바일 데이터 설정","—","모바일 데이터 active tile","INPUT_INJECTION_UNRESOLVED","—","—","short tap 오해석 시 토글 위험","q3_full_inventory_entry.xml","별도 mutation-risk runsheet 필요"
"ALTBASIC_QPN_043","ENTRY_OBSERVED","full page2→touch-lock tile tap","tile tap; 취소 tap","TOUCH_TAP_OBSERVED","CONFIRM_FORBIDDEN","화면 터치 잠금 켜기/취소/확인","3 literal 관찰","tile text=화면 터치 잠금, 꺼짐","LITERAL_CONFIRMED","—","꺼짐→꺼짐","tile availability transient; 3s settle 후 단일 clickable parent 사용","QPN_043_final_00_pre.xml;QPN_043_final_01_popup.xml;QPN_043_final_02_after_cancel.xml","확인 tap 0"
"ALTBASIC_QPN_044","ENTRY_OBSERVED","full page2→touch-lock tile tap→취소","tile tap; 취소 tap","TOUCH_TAP_OBSERVED","CONFIRM_FORBIDDEN","화면 터치 잠금/OFF 유지","팝업 취소 후 꺼짐","tile text=화면 터치 잠금, 꺼짐","LITERAL_CONFIRMED","—","꺼짐→꺼짐","—","QPN_044_final_00_pre.xml;QPN_044_final_01_popup.xml;QPN_044_final_02_after_cancel.xml","확인 tap 0"
