index,tc_id,sheet,verdict,salvage_pattern,blocker,reason
0,1.0,1.Basic principle,DEMOTE_DEVICE,none,folder-closed hardware state + negative-only assert (no positive UI element to observe),"Precondition '폴더 닫힘상태' = physical lid-closed hardware state, not establishable device-free; expected '아무런 동작 없음' is pure absence proof on a folder-closed/SubLCD-off surface with no positive element. observe_split cannot manufacture a positive assert; confirming no-op on closed folder needs hardware."
1,4.0,1.Basic principle,DEMOTE_DEVICE,none,folder-closed hardware state + negative-only assert,Identical to TC 1.0 (Volume Down). '폴더 닫힘상태' physical hardware state + '아무런 동작 없음' absence-only assert; observe_split yields no positive element to fix device-free.
2,29.0,1.Basic principle,DEMOTE_DEVICE,none,—,"Folder-open is the standard operational state; number keyevent from home deterministically opens dialer with the digit shown — no prior data dependence, no SIM/carrier (dialer UI opens offline, number never dialed), input is transient/reversible (clear/back) with no persistent mutation. Positive element exists (dialer activity + digit literal), so a presence/focus contract (selector PENDING_F0) is designable; transient_input genuinely neutralizes the original '입력 부작용'."
3,32.0,1.Basic principle,DEMOTE_DEVICE,none,—,"Same shape as 29.0: '*' keyevent opens dialer and inserts '*' — deterministic, no fixture/data dependence, no carrier/SIM (no call placed), digit transient and reversible, positive element (dialer + '*'). transient_input resolves the input side-effect."
4,35.0,1.Basic principle,DEMOTE_DEVICE,none,—,"Same shape as 29.0/32.0: '#' keyevent opens dialer and inserts '#' — deterministic, no fixture, no carrier/SIM, transient/reversible input, positive element present. transient_input neutralizes the side-effect."
5,46.0,1.Basic principle,DEMOTE_DEVICE,none,unbound variable focus target (home layout dependent); 'launch focused app' has no device-free stable positive contract,"Expected '포커스 위치 앱/기능 실행' targets a gambling-variable focused element dependent on home-launcher layout; the launched app is unbound and could be any app (mutation/fixture/carrier risk). selection_gated can gate only if a benign focused target is deterministically established, which presumes a fixed home layout. No stable positive contract exists for 'whatever-is-focused launches'; binding fundamentally unresolved."
6,47.0,1.Basic principle,DEMOTE_DEVICE,none,unbound variable focus target + settings-entry side-effect,"OK long-press opens the settings/context menu of a variable focused app — same unbound-target problem as 46.0, plus a settings-entry side-effect on an unspecified target. No device-free deterministic positive contract; binding unresolved."
7,52.0,1.Basic principle,DEMOTE_DEVICE,none,time-based auto-dismiss (timing) + volume mutation + lock-screen state,Core assert 'Volume 조절바 3초간 유지되고 사라진다' is time-based auto-dismiss = animation/timing confirmation (explicit DEMOTE_DEVICE class). Procedure also mutates volume (Vol Up) and requires screen-locked state. observe_split could isolate bar-appears but residual is volume mutation + timing.
8,53.0,1.Basic principle,DEMOTE_DEVICE,none,time-based auto-dismiss + volume mutation + lock-screen state,Identical to 52.0 (Volume Down): time-based 3-sec auto-dismiss assert + volume mutation + lock-screen precondition.
9,54.0,1.Basic principle,DEMOTE_DEVICE,none,volume mutation inherent to volume-panel entry + sound-mode selection side-effect,Summoning the volume panel requires a volume keypress = persistent volume mutation (cannot be avoided to observe the focus flow); step3 OK enters the sound-mode selector (소리/진동/무음) creating a mode-selection side-effect. selection_gated cannot remove the inherent volume mutation in the entry path.
